event_cd,eventCD2,runsCt2
2,20,1
20,20,1
2,23,2
3,23,1
2,2,1
14,20,1
23,23,1
2,23,2
14,2,1
20,20,1
2,23,2
14,23,2
22,2,1
2,20,1
21,20,1
21,2,1
21,20,1
2,23,2
20,23,3
21,20,1
2,23,3
20,21,1
16,20,1
20,2,1
21,21,1
20,2,1
20,20,1
2,20,2
20,23,3
2,18,1
20,21,1
2,23,1
2,21,1
20,20,1
9,2,1
21,19,1
15,20,1
2,23,1
2,20,1
2,23,1
20,2,1
20,21,1
3,20,2
14,18,1
14,14,1
14,20,1
14,21,1
2,20,1
2,23,1
20,21,1
2,19,1
20,20,1
20,21,2
14,2,1
3,21,2
20,21,2
14,21,3
4,20,1
14,23,2
2,23,1
21,20,1
8,20,1
20,21,1
2,20,1
20,20,2
2,2,1
14,21,1
21,2,1
4,20,1
2,23,1
2,20,1
21,21,1
16,20,1
20,20,1
20,2,1
16,21,1
21,21,1
3,23,1
20,23,2
20,21,1
3,20,2
20,20,1
3,20,1
10,20,1
2,2,1
4,21,1
16,23,2
14,2,1
3,23,1
16,20,1
14,21,2
21,2,1
4,23,3
21,2,1
2,20,1
3,20,1
2,23,2
2,20,1
20,21,1
20,20,1
2,23,1
2,20,1
15,21,3
14,20,1
20,2,1
14,2,1
2,20,1
14,16,1
14,23,3
15,20,1
20,2,1
2,23,1
20,23,2
14,20,1
3,23,1
14,21,2
9,2,1
14,20,1
20,2,1
2,20,1
14,23,3
14,20,1
20,14,1
2,2,1
20,21,1
3,10,1
4,20,1
20,10,1
3,20,1
3,21,1
21,2,1
3,20,1
20,23,3
2,19,1
20,23,3
20,20,1
2,20,1
20,20,1
20,3,1
3,20,1
20,21,1
20,21,1
21,23,2
16,18,1
2,20,1
20,23,2
2,20,1
2,2,1
14,20,1
14,21,1
21,20,1
20,2,1
14,18,1
3,21,1
20,20,1
20,2,1
2,21,1
21,20,1
2,23,1
2,23,1
2,21,1
3,9,1
3,23,1
20,14,1
14,20,2
14,21,1
21,2,1
14,21,1
20,23,2
3,21,1
3,21,1
2,20,1
20,19,1
19,2,1
14,20,1
20,20,2
20,21,1
2,2,1
3,20,1
21,21,1
14,20,1
20,18,1
2,23,1
18,23,4
3,23,2
20,20,1
2,23,3
14,20,1
20,20,1
20,20,1
2,14,1
14,14,1
14,17,1
3,23,1
20,23,3
14,21,2
20,21,1
14,23,4
2,23,1
10,21,2
2,20,1
2,9,1
9,18,1
16,2,1
20,23,2
20,20,1
3,21,3
3,9,1
2,21,1
3,23,1
20,23,3
20,2,1
14,20,1
3,20,1
3,23,1
2,23,3
20,20,1
20,21,2
2,21,1
2,18,1
2,2,1
2,20,1
14,20,1
20,21,2
21,20,1
20,19,1
2,23,1
20,2,1
14,20,1
20,20,1
21,20,1
15,20,1
2,20,1
20,20,1
20,21,1
21,20,1
20,2,1
20,23,2
3,21,1
2,20,1
2,20,1
14,20,1
20,23,4
21,20,1
3,23,1
20,21,1
3,20,1
18,23,3
20,2,1
2,20,1
2,21,1
3,23,4
3,23,1
20,20,1
20,2,1
2,23,1
2,2,1
9,20,1
14,21,3
2,23,2
2,20,2
14,23,4
2,20,1
2,2,1
20,21,1
14,21,1
20,20,1
20,20,1
4,21,1
15,20,1
16,20,2
3,23,1
14,2,1
2,9,1
14,2,1
14,2,1
2,23,3
20,2,1
2,23,2
14,23,2
20,20,2
2,21,1
20,20,2
20,21,1
20,21,3
21,20,1
21,20,2
14,20,1
20,20,1
21,20,1
20,2,1
2,23,2
20,8,1
20,20,1
18,20,2
2,2,1
2,23,1
21,21,1
21,21,1
20,20,1
2,20,1
3,23,1
2,23,1
2,23,1
20,9,1
4,20,1
2,23,1
22,20,1
3,23,1
4,23,2
2,23,2
20,21,2
20,21,1
20,21,2
3,21,1
2,23,1
15,20,1
2,23,1
2,23,1
2,20,1
20,20,1
2,2,1
20,23,4
18,21,1
3,20,2
14,20,2
3,23,3
2,23,1
21,20,1
2,23,1
20,20,1
20,21,1
21,2,1
2,20,1
3,21,1
14,23,2
2,23,1
2,20,1
20,2,1
2,2,1
2,21,1
15,2,1
2,2,1
14,21,2
