id,PA2,AccVal,val
lyonb003,2,0.495590,0.2477950000
rodrf003,2,0.380600,0.1903000000
englj001,1,0.136370,0.1363700000
bocob001,5,0.372530,0.0745060000
peacb001,5,0.372530,0.0745060000
lerea001,2,0.136370,0.0681850000
atkim001,2,0.136370,0.0681850000
ogana001,6,0.355700,0.0592833333
pavac001,16,0.753130,0.0470706250
britz001,8,0.372530,0.0465662500
diamt001,8,0.368420,0.0460525000
monac001,18,0.760730,0.0422627778
badeb001,11,0.464350,0.0422136364
rodrj003,15,0.574980,0.0383320000
mainj001,15,0.538010,0.0358673333
hoovp001,26,0.864170,0.0332373077
smitg002,16,0.528820,0.0330512500
garnc001,12,0.387470,0.0322891667
vargj001,16,0.504790,0.0315493750
valdr002,18,0.565280,0.0314044444
eveld001,12,0.368420,0.0307016667
hochl001,8,0.237130,0.0296412500
tomlj001,7,0.206560,0.0295085714
wilsc004,31,0.910540,0.0293722581
reyng001,21,0.609660,0.0290314286
floyg001,13,0.368420,0.0283400000
baldr001,29,0.799850,0.0275810345
dankj001,14,0.372530,0.0266092857
raleb001,15,0.386870,0.0257913333
delar003,16,0.380600,0.0237875000
gomem001,116,2.740210,0.0236225000
martl003,1,0.022720,0.0227200000
fordd002,17,0.372530,0.0219135294
velag002,68,1.468160,0.0215905882
jimel001,18,0.376160,0.0208977778
hernf002,20,0.406120,0.0203060000
mejij001,19,0.370830,0.0195173684
doubf001,7,0.136370,0.0194814286
takah001,20,0.387730,0.0193865000
rohlr001,20,0.381040,0.0190520000
blumg001,313,5.829670,0.0186251438
sheeb001,21,0.387190,0.0184376190
boscj001,32,0.574980,0.0179681250
olses001,29,0.516970,0.0178265517
hensc002,21,0.372530,0.0177395238
suppj001,43,0.760010,0.0176746512
fifes001,28,0.491870,0.0175667857
ameza001,94,1.624710,0.0172841489
figaa001,12,0.206560,0.0172133333
frazj001,24,0.411540,0.0171475000
dinkb001,82,1.399750,0.0170701220
atill001,27,0.459670,0.0170248148
skagt001,22,0.372530,0.0169331818
mattg002,67,1.132480,0.0169026866
greet005,159,2.664370,0.0167570440
churr001,244,3.958800,0.0162245902
milot001,23,0.372530,0.0161969565
adamr003,102,1.641440,0.0160925490
darnc001,166,2.663060,0.0160425301
bernd001,66,1.052350,0.0159446970
werna001,15,0.237130,0.0158086667
blanj001,153,2.404550,0.0157160131
andeb005,71,1.110320,0.0156383099
hermj001,337,5.239490,0.0155474481
miscp001,9,0.139790,0.0155322222
tatif001,74,1.145450,0.0154790541
fryee001,50,0.769010,0.0153802000
hared001,125,1.876830,0.0150146400
lewic001,25,0.372530,0.0149012000
voger001,172,2.549270,0.0148213372
loewa001,38,0.560570,0.0147518421
hawkb001,19,0.276160,0.0145347368
loper001,106,1.538590,0.0145150000
canzr001,105,1.523940,0.0145137143
ordom001,751,10.857690,0.0144576431
pennb002,26,0.374360,0.0143984615
hoffm001,60,0.861340,0.0143556667
mcdoj004,164,2.345210,0.0143000610
moyej001,52,0.733530,0.0141063462
green001,115,1.607200,0.0139756522
schwc001,11,0.153640,0.0139672727
colec001,55,0.766060,0.0139283636
felij002,122,1.687410,0.0138312295
burrs001,140,1.936240,0.0138302857
abret001,440,6.009380,0.0136576818
almoe001,29,0.395250,0.0136293103
repkj001,309,4.196150,0.0135797735
belim001,14,0.189640,0.0135457143
lincb001,43,0.579090,0.0134672093
rodrh003,28,0.372530,0.0133046429
corbp001,116,1.539050,0.0132676724
shiej002,18,0.237130,0.0131738889
lee-c003,235,3.081220,0.0131115745
peguf001,47,0.613810,0.0130597872
browj006,114,1.486250,0.0130372807
gillc002,193,2.496000,0.0129326425
grosg002,255,3.270320,0.0128247843
sanca004,186,2.369390,0.0127386559
mangm001,41,0.518860,0.0126551220
burrb001,31,0.391620,0.0126329032
hoesl001,190,2.376310,0.0125068947
giavj001,451,5.606220,0.0124306430
gamem001,122,1.502530,0.0123158197
zambc001,144,1.761750,0.0122343750
towlj001,223,2.727630,0.0122315247
middw001,702,8.547240,0.0121755556
hudsk001,30,0.365090,0.0121696667
grudm001,125,1.520910,0.0121672800
coopd002,234,2.829500,0.0120918803
torrc001,32,0.383760,0.0119925000
hamij003,2664,31.574640,0.0118523423
wilsb002,456,5.402590,0.0118477851
fox-j001,281,3.327330,0.0118410320
glaut001,507,5.892890,0.0116230572
lynnl001,150,1.741160,0.0116077333
crawc002,1930,22.323990,0.0115668342
figun001,33,0.380130,0.0115190909
teixm001,2148,24.728280,0.0115122346
pie-f001,525,6.023220,0.0114728000
ransc001,583,6.680390,0.0114586449
harvm001,85,0.969830,0.0114097647
cahit001,137,1.557030,0.0113651825
felds001,51,0.578550,0.0113441176
valac001,143,1.615650,0.0112982517
montm001,2035,22.960920,0.0112830074
hamim001,67,0.754570,0.0112622388
pench001,2887,32.498820,0.0112569519
pedrd001,2623,29.425980,0.0112184445
cloyt001,36,0.401660,0.0111572222
kubej002,1927,21.422070,0.0111167981
rottv001,88,0.976960,0.0111018182
oeltt001,126,1.391120,0.0110406349
guilc001,379,4.170030,0.0110027177
cairm001,687,7.535660,0.0109689374
marsl001,827,9.028900,0.0109176542
poseb001,2032,22.151310,0.0109012352
berrq001,382,4.163760,0.0108998953
rodra001,1885,20.545660,0.0108995544
andre001,3069,33.395350,0.0108815086
gee-d001,180,1.956900,0.0108716667
eatoa002,389,4.220460,0.0108495116
golsg001,35,0.379270,0.0108362857
grany001,349,3.774990,0.0108165903
jackb002,145,1.562870,0.0107784138
navad002,1117,12.032370,0.0107720412
peree003,14,0.150710,0.0107650000
tosor001,197,2.116350,0.0107428934
mauej001,2187,23.458490,0.0107263329
gonzc001,2286,24.465650,0.0107023841
lavar001,295,3.149700,0.0106769492
cabrm002,2178,23.238580,0.0106696878
buckt001,295,3.147550,0.0106696610
martm003,406,4.325760,0.0106545813
roben001,35,0.372530,0.0106437143
bay-j001,1427,15.160100,0.0106237561
donaj001,1068,11.312710,0.0105924251
cunna001,371,3.928730,0.0105895687
carre001,413,4.353280,0.0105406295
wrigd002,2387,25.116710,0.0105222916
kaaik001,460,4.833390,0.0105073696
cabrm001,2903,30.492060,0.0105036376
ely-j001,36,0.377920,0.0104977778
capuc001,180,1.888060,0.0104892222
navad001,709,7.400270,0.0104376164
beltb001,1357,14.153410,0.0104299263
markn001,2685,27.974330,0.0104187449
schmk001,17,0.176360,0.0103741176
pereh001,73,0.755760,0.0103528767
cingt001,36,0.372530,0.0103480556
mcdod002,713,7.375290,0.0103440252
hollm001,2746,28.388680,0.0103381937
hughj001,3,0.030940,0.0103133333
cabra002,2372,24.462020,0.0103128246
dukez001,85,0.875120,0.0102955294
jay-j001,2193,22.570730,0.0102921705
gally001,302,3.100440,0.0102663576
huffc001,23,0.235640,0.0102452174
machm001,976,9.999240,0.0102451230
johnn001,206,2.105720,0.0102219417
pagaa001,2259,23.042650,0.0102003763
vottj001,2700,27.427160,0.0101582074
harrb001,244,2.469200,0.0101196721
ortid001,2344,23.644440,0.0100872184
maiem001,637,6.418270,0.0100757771
freed001,1954,19.665410,0.0100641812
jackc002,655,6.574350,0.0100371756
browd004,1063,10.665790,0.0100336689
corrk001,172,1.721660,0.0100096512
moort002,364,3.642860,0.0100078571
arrob001,296,2.961920,0.0100064865
gonzg003,154,1.539330,0.0099956494
braur002,2393,23.795980,0.0099439950
fielp001,3060,30.361580,0.0099220850
hallb001,610,6.038370,0.0098989672
harpb003,1147,11.347110,0.0098928596
bedae001,53,0.524100,0.0098886792
willj004,2173,21.380040,0.0098389508
bautj002,2370,23.306120,0.0098338059
snydb003,165,1.620160,0.0098191515
longe001,2433,23.864380,0.0098086231
parra001,238,2.333840,0.0098060504
jacke001,210,2.058610,0.0098029048
inglj001,194,1.900520,0.0097964948
sancf001,849,8.314750,0.0097935807
vittj001,114,1.116330,0.0097923684
felip001,441,4.314110,0.0097825624
bassa001,39,0.380130,0.0097469231
kempm001,2169,21.129160,0.0097414292
garcf002,28,0.272740,0.0097407143
martj005,14,0.136370,0.0097407143
hudso001,1380,13.406290,0.0097147029
martv001,1929,18.711590,0.0097001503
cuddm001,2263,21.928280,0.0096899160
morgn001,1391,13.433140,0.0096571819
baxtm001,423,4.078240,0.0096412293
joneg002,2187,21.076100,0.0096369913
sanca005,641,6.171140,0.0096273635
philb001,2804,26.985380,0.0096238873
snydb002,37,0.355630,0.0096116216
casha001,75,0.719440,0.0095925333
jonea003,2718,26.060790,0.0095882230
butlb003,2842,27.241720,0.0095854046
linct001,303,2.897350,0.0095622112
rizza001,1249,11.934890,0.0095555564
maybj001,1204,11.495190,0.0095475000
utlec001,2002,19.111460,0.0095461838
chatt001,77,0.734690,0.0095414286
scutm001,2536,24.195250,0.0095407137
triuc001,73,0.695880,0.0095326027
bushd001,65,0.618390,0.0095136923
heywj001,2265,21.539740,0.0095098190
lopef001,609,5.791310,0.0095095402
rodrw002,239,2.269800,0.0094970711
zobrb001,2886,27.400630,0.0094943278
tavew001,39,0.369970,0.0094864103
sanch002,428,4.056950,0.0094788551
tulot001,1952,18.485510,0.0094700359
huffa001,1452,13.727250,0.0094540289
gentc001,779,7.362760,0.0094515533
boesb001,1582,14.944800,0.0094467762
cainl001,891,8.413760,0.0094430527
laroa001,2116,19.976500,0.0094406900
troum001,1525,14.343770,0.0094057508
dempr002,181,1.698450,0.0093837017
