id,first,last,PA1,accScore,score
peacb001,Brad,Peacock,5,0.611120,0.1222240000
moorm003,Matt,Moore,7,0.428100,0.0611571429
smitg002,Greg,Smith,16,0.969560,0.0605975000
mainj001,John,Maine,15,0.906950,0.0604633333
chavj001,Jesse,Chavez,5,0.283500,0.0567000000
garnc001,Cole,Garner,12,0.664700,0.0553916667
delar003,Rubby,"de la Rosa",16,0.884550,0.0552843750
vargj001,Jason,Vargas,16,0.874070,0.0546293750
monac001,Carlos,Monasterios,18,0.961710,0.0534283333
britz001,Zachary,Britton,8,0.387300,0.0484125000
doubf001,Felix,Doubront,7,0.337350,0.0481928571
reyng001,Greg,Reynolds,21,1.008510,0.0480242857
hoovp001,Paul,Hoover,26,1.230100,0.0473115385
scalb001,Bobby,Scales,20,0.928010,0.0464005000
badeb001,Burke,Badenhop,11,0.468210,0.0425645455
schwc001,Chris,Schwinden,11,0.436090,0.0396445455
milot001,Tom,Milone,23,0.867580,0.0377208696
wilsc004,C.J.,Wilson,31,1.152990,0.0371932258
kellj001,Joe,Kelly,84,2.983320,0.0355157143
darnc001,Chase,d'Arnaud,166,5.883360,0.0354419277
fryee001,Eric,Fryer,50,1.700600,0.0340120000
valdr002,Raul,Valdes,18,0.610600,0.0339222222
mejij001,Jenrry,Mejia,19,0.638930,0.0336278947
mattg002,Gary,Matthews,67,2.176720,0.0324883582
jimel001,"Luis Antonio",Jimenez,18,0.577140,0.0320633333
boscj001,J.C.,Boscan,32,1.015720,0.0317412500
dinkb001,Brian,Dinkelman,82,2.597950,0.0316823171
carll001,Luke,Carlin,31,0.979460,0.0315954839
fifes001,Stephen,Fife,28,0.879530,0.0314117857
takah001,Hisanori,Takahashi,20,0.626320,0.0313160000
bedae001,Erik,Bedard,53,1.635700,0.0308622642
cingt001,Tony,Cingrani,36,1.108860,0.0308016667
baldr001,Rocco,Baldelli,29,0.890460,0.0307055172
sheeb001,Ben,Sheets,21,0.625780,0.0297990476
hochl001,Luke,Hochevar,8,0.237290,0.0296612500
gomem001,Mauro,Gomez,116,3.379760,0.0291358621
mcalz001,Zach,McAllister,5,0.143250,0.0286500000
velag002,Gil,Velazquez,68,1.932770,0.0284230882
may-l001,Lucas,May,41,1.136510,0.0277197561
felij002,Jesus,Feliciano,122,3.360940,0.0275486885
hoffm001,Micah,Hoffpauir,60,1.638460,0.0273076667
holab001,Bryan,Holaday,47,1.280440,0.0272434043
chenw001,Wei-Yin,Chen,7,0.189680,0.0270971429
loewa001,Adam,Loewen,38,1.023130,0.0269244737
hudsk001,Kyle,Hudson,30,0.807540,0.0269180000
blumg001,Geoff,Blum,313,8.398420,0.0268320128
mcclk001,Kyle,McClellan,47,1.246960,0.0265310638
inglj001,Joe,Inglett,194,5.142060,0.0265054639
triuc001,Carlos,Triunfel,73,1.877880,0.0257243836
corbp001,Patrick,Corbin,116,2.976680,0.0256610345
hawkb001,Blake,Hawksworth,19,0.481000,0.0253157895
hared001,Dan,Haren,125,3.163530,0.0253082400
olses001,Scott,Olsen,29,0.717950,0.0247568966
mcdoj004,James,McDonald,164,4.005980,0.0244267073
falui001,Irving,Falu,97,2.368030,0.0244126804
martj005,J.D.,Martin,14,0.337350,0.0240964286
ordom001,Magglio,Ordonez,751,18.086320,0.0240829827
lynnl001,Lance,Lynn,150,3.611660,0.0240777333
dirka001,Andy,Dirks,1153,27.569690,0.0239112663
sardd001,Dane,Sardinha,86,2.053400,0.0238767442
churr001,Ryan,Church,244,5.811220,0.0238164754
andeb005,Bryan,Anderson,71,1.690590,0.0238111268
voger001,Ryan,Vogelsong,172,4.092740,0.0237950000
lincb001,Brad,Lincoln,43,1.022520,0.0237795349
cooka002,Aaron,Cook,83,1.940210,0.0233760241
grosg002,Gabe,Gross,255,5.911600,0.0231827451
browj006,Jordan,Brown,114,2.641820,0.0231738596
marsl001,Lou,Marson,827,19.007090,0.0229831802
lopef001,Felipe,Lopez,609,13.978300,0.0229528736
marto001,Osvaldo,Martinez,75,1.720310,0.0229374667
canzr001,Russ,Canzler,105,2.393520,0.0227954286
belim001,Matt,Belisle,14,0.318400,0.0227428571
watsm002,Matt,Watson,37,0.840950,0.0227283784
bernd001,Doug,Bernier,66,1.495910,0.0226653030
teixm001,Mark,Teixeira,2148,48.523590,0.0225901257
adamr003,Ryan,Adams,102,2.301920,0.0225678431
scutm001,Marco,Scutaro,2536,57.056690,0.0224986948
machm001,Manny,Machado,976,21.617600,0.0221491803
pedrd001,Dustin,Pedroia,2623,57.807800,0.0220388105
giavj001,Johnny,Giavotella,451,9.933480,0.0220254545
lewic001,Colby,Lewis,25,0.550430,0.0220172000
donaj001,Joshua,Donaldson,1068,23.502180,0.0220057865
berrq001,Quintin,Berry,382,8.378100,0.0219321990
fordd002,Darren,Ford,17,0.372530,0.0219135294
tatif001,Fernando,Tatis,74,1.610390,0.0217620270
zawal001,Lance,Zawadzki,44,0.957350,0.0217579545
dukez001,Zach,Duke,85,1.847570,0.0217361176
pagaa001,Angel,Pagan,2259,49.082150,0.0217273794
andre001,Elvis,Andrus,3069,66.643800,0.0217151515
crawc002,Carl,Crawford,1930,41.898390,0.0217090104
hamij003,Josh,Hamilton,2664,57.827670,0.0217070833
frazj001,Jeff,Frazier,24,0.520120,0.0216716667
navad002,Daniel,Nava,1117,24.192770,0.0216587019
ameza001,Alfredo,Amezaga,94,2.030730,0.0216035106
sancf001,Freddy,Sanchez,849,18.298660,0.0215531920
martm003,Michael,Martinez,406,8.696030,0.0214187931
cunna001,Aaron,Cunningham,371,7.889260,0.0212648518
wilsb002,Bobby,Wilson,456,9.647880,0.0211576316
troum001,Mike,Trout,1525,32.202470,0.0211163738
carrb001,Brett,Carroll,99,2.064440,0.0208529293
repkj001,Jason,Repko,309,6.435270,0.0208261165
navao001,Oswaldo,Navarro,25,0.519970,0.0207988000
moreb001,Brent,Morel,697,14.464060,0.0207518795
gamem001,Mat,Gamel,122,2.516650,0.0206282787
burrs001,Sean,Burroughs,140,2.887290,0.0206235000
satij001,Josh,Satin,263,5.420870,0.0206116730
carpm002,Matt,Carpenter,1188,24.390910,0.0205310690
reimn001,Nolan,Reimold,670,13.750510,0.0205231493
gonzc001,Carlos,Gonzalez,2286,46.865860,0.0205012511
bartd001,Daric,Barton,1315,26.954830,0.0204979696
glaut001,Troy,Glaus,507,10.378150,0.0204697239
ortid001,David,Ortiz,2344,47.922510,0.0204447568
hollm001,Matt,Holliday,2746,56.025270,0.0204025018
romia002,Austin,Romine,180,3.669700,0.0203872222
vottj001,Joey,Votto,2700,55.025230,0.0203797148
rodra001,Alex,Rodriguez,1885,38.266670,0.0203006207
linct001,Tim,Lincecum,303,6.144850,0.0202800330
helmw001,Wes,Helms,418,8.459240,0.0202374163
pachj001,Jordan,Pacheco,884,17.838390,0.0201791742
jacom001,Mike,Jacobs,53,1.062890,0.0200545283
sanca005,Angel,Sanchez,641,12.846260,0.0200409672
blanj001,Joe,Blanton,153,3.063300,0.0200215686
boesb001,Brennan,Boesch,1582,31.649930,0.0200062769
morgn001,Nyjer,Morgan,1391,27.822030,0.0200014594
paytj001,Jay,Payton,37,0.737900,0.0199432432
montm001,Miguel,Montero,2035,40.578190,0.0199401425
zaung001,Gregg,Zaun,119,2.367500,0.0198949580
longe001,Evan,Longoria,2433,48.387110,0.0198878381
rohlr001,Ryan,Rohlinger,20,0.397250,0.0198625000
mauej001,Joe,Mauer,2187,43.375080,0.0198331413
abret001,Tony,Abreu,440,8.720860,0.0198201364
eatoa002,Adam,Eaton,389,7.705260,0.0198078663
jay-j001,Jon,Jay,2193,43.274980,0.0197332330
markn001,Nick,Markakis,2685,52.938460,0.0197163724
vizqo001,Omar,Vizquel,794,15.638160,0.0196954156
middw001,Will,Middlebrooks,702,13.823780,0.0196919943
holtb002,Brock,Holt,147,2.883500,0.0196156463
jacka001,Austin,Jackson,2789,54.623480,0.0195853281
keppj001,Jeff,Keppinger,1944,38.037580,0.0195666564
jackc002,Conor,Jackson,655,12.805410,0.0195502443
jennd002,Desmond,Jennings,1556,30.416320,0.0195477635
cabrm001,Miguel,Cabrera,2903,56.697430,0.0195306338
ransc001,Cody,Ransom,583,11.385730,0.0195295540
bautj002,Jose,Bautista,2370,46.247920,0.0195138903
greiz001,Zack,Greinke,191,3.717960,0.0194657592
pennb002,Brad,Penny,26,0.504710,0.0194119231
berkl001,Lance,Berkman,1606,31.097200,0.0193631382
baxtm001,Mike,Baxter,423,8.186460,0.0193533333
hudso001,Orlando,Hudson,1380,26.700020,0.0193478406
bay-j001,Jason,Bay,1427,27.597320,0.0193393973
poseb001,Buster,Posey,2032,39.226970,0.0193046112
hallb001,Bill,Hall,610,11.772860,0.0192997705
colec001,Casey,Coleman,55,1.055990,0.0191998182
leons001,Sandy,Leon,42,0.804450,0.0191535714
granc001,Curtis,Granderson,2328,44.583150,0.0191508376
zobrb001,Ben,Zobrist,2886,55.225540,0.0191356687
lee-c003,Cliff,Lee,235,4.496570,0.0191343404
cabra002,Asdrubal,Cabrera,2372,45.355240,0.0191210961
gimeh001,Hector,Gimenez,104,1.988510,0.0191202885
mcdod002,Darnell,McDonald,713,13.631340,0.0191182889
fowld001,Dexter,Fowler,2166,41.352400,0.0190915974
hoesl001,L.J.,Hoes,190,3.624330,0.0190754211
laroa002,Andy,LaRoche,386,7.358300,0.0190629534
wrigd002,David,Wright,2387,45.470360,0.0190491663
bartj001,Jason,Bartlett,1344,25.590820,0.0190407887
varij001,Jason,Varitek,383,7.290460,0.0190351436
dempr002,Ryan,Dempster,181,3.434650,0.0189759669
ramia003,Alexei,Ramirez,2730,51.792260,0.0189715238
heywj001,Jason,Heyward,2265,42.958390,0.0189661766
rabur001,Ryan,Raburn,1407,26.664040,0.0189509879
harrb001,Brendan,Harris,244,4.620390,0.0189360246
johnr008,Reed,Johnson,927,17.553160,0.0189354477
pereh001,Hernan,Perez,73,1.376930,0.0188620548
philb001,Brandon,Phillips,2804,52.849860,0.0188480243
kozmp001,Peter,Kozma,673,12.647230,0.0187923180
averx001,Xavier,Avery,112,2.097960,0.0187317857
grudm001,Mark,Grudzielanek,125,2.341120,0.0187289600
blank002,Kyle,Blanks,656,12.276720,0.0187145122
braur002,Ryan,Braun,2393,44.741690,0.0186969035
willr004,Reggie,Willits,217,4.055060,0.0186869124
