event_cd,eventCD2,eventCD3,runsCt3
14,2,20,1
2,20,20,1
3,2,23,2
4,2,2,1
2,14,20,1
14,2,23,2
20,14,2,1
2,20,20,1
14,2,23,2
2,14,23,2
23,22,2,1
21,2,20,1
2,21,20,1
20,21,2,1
20,2,23,2
14,20,23,3
3,2,23,3
2,16,20,1
16,20,2,1
3,21,21,1
14,20,2,1
3,20,20,1
14,2,20,2
14,20,23,3
9,2,18,1
21,20,21,1
2,2,23,1
21,2,21,1
21,20,20,1
2,9,2,1
14,21,19,1
21,15,20,1
21,2,20,1
2,2,23,1
20,20,2,1
20,20,21,1
21,3,20,2
6,14,18,1
18,14,14,1
14,14,20,1
2,14,21,1
21,2,20,1
14,2,19,1
20,20,20,1
20,20,21,2
16,14,2,1
4,3,21,2
3,20,21,2
2,14,21,3
14,4,20,1
2,14,23,2
2,21,20,1
14,8,20,1
2,20,21,1
21,2,20,1
14,20,20,2
21,2,2,1
21,14,21,1
14,21,2,1
14,4,20,1
20,2,20,1
2,21,21,1
3,16,20,1
16,20,20,1
21,20,2,1
2,16,21,1
16,21,21,1
2,20,21,1
15,3,20,2
3,20,20,1
2,3,20,1
9,10,20,1
21,2,2,1
20,4,21,1
2,14,2,1
3,3,23,1
20,16,20,1
20,14,21,2
14,21,2,1
2,4,23,3
20,21,2,1
2,2,20,1
21,3,20,1
20,2,23,2
21,2,20,1
2,20,21,1
20,20,20,1
20,2,20,1
2,15,21,3
21,14,20,1
21,20,2,1
2,14,2,1
21,2,20,1
20,14,16,1
20,14,23,3
2,15,20,1
20,20,2,1
9,14,20,1
2,14,21,2
2,9,2,1
20,14,20,1
14,20,2,1
20,2,20,1
4,14,23,3
2,14,20,1
20,20,14,1
21,2,2,1
4,20,21,1
14,3,10,1
2,4,20,1
14,20,10,1
21,3,20,1
18,3,21,1
20,21,2,1
14,3,20,1
3,20,23,3
21,2,19,1
20,20,23,3
21,20,20,1
20,2,20,1
2,20,20,1
20,20,3,1
2,3,20,1
16,20,21,1
20,21,23,2
2,16,18,1
21,2,20,1
2,20,23,2
2,2,20,1
22,2,2,1
20,14,20,1
2,14,21,1
14,21,20,1
21,20,2,1
14,14,18,1
20,3,21,1
20,20,20,1
20,20,2,1
20,2,21,1
2,21,20,1
14,2,21,1
20,3,9,1
3,3,23,1
14,20,14,1
20,14,20,2
14,14,21,1
14,21,2,1
6,14,21,1
20,3,21,1
18,3,21,1
15,2,20,1
14,20,19,1
20,19,2,1
20,14,20,1
14,20,20,2
21,2,2,1
21,3,20,1
16,14,20,1
15,18,23,4
2,3,23,2
20,20,20,1
20,2,23,3
2,14,20,1
14,20,20,1
20,20,20,1
14,2,14,1
21,14,14,1
14,14,17,1
2,20,23,3
20,14,21,2
2,20,21,1
20,14,23,4
20,10,21,2
21,2,20,1
16,2,9,1
2,9,18,1
2,16,2,1
2,20,23,2
20,20,20,1
20,3,21,3
2,3,9,1
21,2,21,1
20,20,23,3
20,20,2,1
4,14,20,1
20,3,20,1
20,2,23,3
20,20,20,1
20,20,21,2
20,2,21,1
21,2,18,1
18,2,2,1
9,2,20,1
2,14,20,1
14,20,21,2
20,21,20,1
21,20,19,1
18,20,2,1
20,14,20,1
14,20,20,1
3,15,20,1
20,2,20,1
20,20,20,1
20,21,20,1
20,20,2,1
21,3,21,1
20,2,20,1
9,2,20,1
21,14,20,1
18,20,23,4
2,21,20,1
3,3,23,1
22,3,20,1
20,18,23,3
14,20,2,1
2,2,20,1
20,2,21,1
15,3,23,4
2,3,23,1
2,20,2,1
14,2,2,1
20,9,20,1
20,14,21,3
20,2,23,2
16,2,20,2
21,14,23,4
20,2,20,1
9,2,2,1
2,20,20,1
20,20,20,1
2,4,21,1
2,15,20,1
20,16,20,2
20,14,2,1
14,2,9,1
20,14,2,1
20,14,2,1
14,2,23,3
14,20,2,1
20,2,23,2
2,14,23,2
20,20,20,2
20,2,21,1
20,20,20,2
20,20,21,1
20,20,21,3
2,21,20,1
20,21,20,2
2,14,20,1
19,20,20,1
16,21,20,1
21,20,2,1
4,2,23,2
21,20,8,1
20,20,20,1
20,18,20,2
20,2,2,1
23,21,21,1
21,20,20,1
20,2,20,1
2,3,23,1
2,2,23,1
2,2,23,1
4,20,9,1
19,4,20,1
2,2,23,1
2,3,23,1
20,4,23,2
2,2,23,2
2,20,21,2
19,20,21,1
14,20,21,2
14,3,21,1
2,15,20,1
23,2,23,1
20,2,20,1
2,20,20,1
21,2,2,1
14,20,23,4
20,18,21,1
2,3,20,2
3,14,20,2
20,3,23,3
23,2,23,1
2,21,20,1
2,2,23,1
20,20,20,1
20,20,21,1
20,21,2,1
21,2,20,1
14,3,21,1
20,2,20,1
20,20,2,1
16,2,2,1
18,2,21,1
20,15,2,1
20,2,2,1
2,14,21,2
20,4,23,2
2,2,23,1
2,20,21,1
21,20,20,1
4,2,11,1
20,3,21,1
2,20,2,1
9,2,2,1
21,2,19,1
6,20,22,1
2,20,2,1
2,14,20,1
9,20,2,1
14,2,21,1
2,14,23,2
2,21,23,3
2,20,23,2
21,2,2,1
3,14,20,1
20,20,2,1
20,2,2,1
8,2,20,2
21,2,21,1
20,2,21,2
2,4,2,1
14,20,21,1
14,2,20,2
20,4,2,1
2,21,2,1
11,2,21,1
2,14,21,2
18,14,2,1
2,16,21,3
16,21,21,1
20,14,23,4
14,14,14,1
14,3,21,2
16,2,20,1
14,20,21,2
2,4,20,1
20,2,11,1
2,2,20,1
20,20,2,1
20,4,23,2
21,2,20,1
14,2,20,1
2,4,20,1
21,3,2,1
21,20,2,1
2,22,20,1
14,14,14,1
21,16,20,1
3,4,2,1
14,14,23,4
21,3,20,1
14,2,23,2
2,20,20,1
21,2,2,1
16,2,2,1
